"Time","sensor-readings.reading"
1649075379000,23.8
1649076077000,24.2
1649080212000,23.6
1649083183000,23.8
1649084385000,23.6
1649094584000,23.4
1649101811000,23.2
1649112581000,23
1649113181000,23.2
1649114977000,23
1649117379000,23.2
1649117984000,23
1649119803000,23.2
1649120389000,23
1649133582000,23.2
1649151596000,23.4
1649157582000,23.6
1649159375000,23.4
1649159969000,23.2
1649160599000,22.2
1649161170000,20.8
1649161770000,20.4
1649162400000,21.4
1649162972000,22
1649163571000,22.2
1649164216000,22.4
1649164802000,22.6
1649166587000,22.8
1649170207000,22.6
1649173190000,22.4
1649175007000,22.2
1649177985000,22
1649178620000,22.2
1649181569000,22.4
1649187025000,22.6
1649187582000,22.4
1649195974000,22.6
1649197210000,22.4
1649197798000,22.6
1649208611000,22.8
1649209179000,22.6
1649210988000,22.8
1649211568000,22.6
1649213374000,22.8
1649215174000,22.6
1649215806000,22.8
1649216382000,22.6
1649217009000,22.8
1649218172000,22.6
1649218809000,22.8
1649224168000,23
1649227778000,23.2
1649228407000,23
1649228972000,23.2
1649237981000,23
1649242768000,22.8
1649245806000,22.6
1649249363000,22.4
1649253574000,22.2
1649258369000,22
1649264371000,21.8
1649270402000,21.6
1649278190000,21.4
1649278766000,21.6
1649280608000,21.4
1649285406000,21.2
1649285967000,21.4
1649287179000,21.2
1649287766000,21.4
1649288972000,21.2
1649293773000,21
1649296206000,21.2
1649296796000,21.4
1649299218000,21.6
1649303371000,21.8
1649305765000,22
1649308207000,22.2
1649314770000,22.4
1649316584000,22.6
1649317229000,22.4
1649317809000,22.6
1649322563000,22.4
1649323164000,22.6
1649324395000,22.4
1649327965000,22.2
1649332197000,22
1649337581000,21.8
1649343567000,21.6
1649350200000,21.4
1649356774000,21.2
1649357389000,21.4
1649358568000,21.2
1649359168000,21.4
1649360398000,21.2
1649368216000,21
1649368759000,21.2
1649369373000,21
1649378961000,20.8
1649379557000,21
1649380166000,20.8
1649390968000,21
1649393370000,21.2
1649393959000,21.4
1649396970000,21.6
1649399366000,21.8
1649414990000,21.6
1649418552000,21.4
1649419163000,21.6
1649420362000,21.4
1649428154000,21.2
1649435395000,21
1649446161000,20.8
1649456352000,20.6
1649456954000,20.8
1649457552000,20.6
1649467170000,20.4
1649476757000,20.6
1649478570000,20.8
1649480956000,21
1649485181000,21.2
1649485791000,21
1649486951000,21.2
1649492356000,21.4
1649496560000,21.6
1649518159000,21.4
1649518751000,21.6
1649528388000,21.8
1649528955000,21.6
1649532559000,21.8
1649533159000,21.6
1649534359000,21.8
1649534988000,21.6
1649535547000,21.8
1649544589000,22
1649545177000,21.8
1649549379000,22
1649550551000,21.8
1649551749000,22
1649554165000,21.8
1649555369000,22
1649569757000,22.2
1649570988000,22
1649573344000,22.2
1649579359000,22.4
1649579959000,22.2
1649584746000,22
1649586576000,22.2
1649587176000,22
1649594379000,21.8
1649605183000,21.6
1649607555000,21.8
1649612957000,22
1649613541000,21.8
1649615387000,22
