"Time","sensor-readings.reading"
1648929711000,3.1
1648929876000,2.7
1648930236000,2.3
1648930791000,2.7
1648932531000,3.1
1648938501000,2.7
1648938801000,3.1
1648940391000,3.4
1648940556000,3.1
1648942236000,2.7
1648945851000,2.3
1648947471000,2.7
1648947711000,3.1
1648950591000,3.4
1648950846000,3.1
1648950951000,2.7
1648951132000,2.3
1648951296000,2.7
1648951566000,3.1
1648953966000,3.4
1648954101000,3.8
1648954851000,3.1
1648955406000,3.4
1648956036000,3.1
1648956306000,2.7
1648956831000,2.3
1648957056000,2.7
1648957176000,3.1
1648958557000,3.4
1648960236000,3.1
1648960672000,3.4
1648960836000,3.8
1648961061000,3.1
1648961586000,2.7
1648962306000,2.3
1648962441000,2.7
1648962592000,3.1
1648962696000,3.4
1648962876000,3.1
1648962981000,2.7
1648963371000,2.3
1648963522000,2.7
1648963656000,3.1
1648963777000,3.4
1648964136000,3.8
1648964781000,4.5
1648964931000,4.8
1648965606000,5.2
1648965726000,5.6
1648965816000,6
1648966686000,5.6
1648966821000,5.2
1648967046000,4.8
1648967137000,4.5
1648967286000,4.1
1648967602000,4.5
1648967676000,4.8
1648968171000,5.2
1648968231000,5.6
1648968366000,6
1648968486000,6.3
1648968711000,6.7
1648968846000,7.1
1648969027000,7.5
1648969116000,7.8
1648969446000,7.4
1648969492000,7
1648969522000,6.6
1648969566000,6.1
1648970151000,5.7
1648970422000,5.3
1648970467000,5
1648970631000,4.6
1648970991000,3.9
1648971246000,4.3
1648971306000,5
1648971336000,5.3
1648971382000,5.8
1648971426000,6.2
1648971711000,5.8
1648971771000,5.5
1648971877000,5.1
1648972011000,4.7
1648972956000,4.3
1648973511000,5
1648973676000,5.3
1648973797000,5.7
1648974262000,6.1
1648974471000,6.5
1648974531000,6.8
1648974591000,7.2
1648974651000,7.6
1648974757000,8
1648974891000,7.6
1648975251000,7.2
1648975821000,7.6
1648975911000,8
1648976136000,7.5
1648976167000,7
1648976631000,7.3
1648976841000,7.7
1648977036000,8.1
1648977276000,7.7
1648977351000,7.2
1648977862000,6.8
1648977936000,6.5
1648978026000,6.1
1648978341000,5.7
1648978521000,6.1
1648978776000,5.7
1648979376000,6.1
1648979541000,6.5
1648979767000,6.8
1648980021000,6.5
1648980381000,6.8
1648981596000,7.2
1648982016000,6.8
1648982451000,6.5
1648982676000,6.8
1648982781000,7.2
1648982871000,7.6
1648983036000,7.2
1648983396000,6.8
1648983786000,7.2
1648984911000,6.8
1648985061000,7.2
1648985121000,7.6
1648985796000,8
1648986111000,8.3
1648986276000,8.7
1648986471000,9.1
1648986666000,8.7
1648986786000,8.4
1648987326000,8.7
1648987521000,8.4
1648987791000,7.7
1648987956000,8.1
1648988046000,8.7
1648988106000,9.1
1648988241000,9.7
1648988526000,9.4
1648988601000,9
1648988721000,8.6
1648988811000,8.2
1648990146000,8.6
1648990236000,8.2
1648990686000,7.5
1648990821000,7.8
1648990971000,8.2
1648991076000,8.6
1648991166000,8.1
1648991706000,8.7
1648991766000,9.1
1648991871000,9.7
1648992216000,9.4
1648992336000,8.7
1648992486000,9.1
1648993056000,8.7
1648993176000,8.4
1648993506000,7.7
1648993611000,7.3
1648993806000,7.7
1648993896000,8.1
1648994151000,7.7
1648994466000,8.1
1648995021000,8.7
1648995366000,9.1
1648995591000,8.7
1648995861000,9.1
1648996266000,8.7
1648996341000,8.4
1648997256000,8.7
1648997511000,9.1
1648998066000,8.7
1648998261000,8.4
1648998351000,7.7
1648998426000,7.3
1648998516000,7
1648998741000,6.6
1648999431000,7
1648999716000,6.6
1649000346000,7
1649000916000,6.6
1649001441000,6.2
1649002191000,6.6
1649002476000,6.2
1649003001000,5.8
1649005086000,6.2
1649006151000,5.8
1649006301000,5.5
1649007621000,5.1
1649009361000,4.7
1649009526000,4.3
1649010036000,3.9
1649010321000,3.6
1649010741000,3.2
1649011731000,2.8
1649020116000,3.2
1649020176000,3.6
1649020221000,3.9
1649020281000,4.3
1649020401000,5
1649020641000,4.6
1649020776000,3.9
1649020821000,3.6
1649021106000,3.9
1649021436000,4.3
1649022681000,3.9
1649023011000,4.3
1649025591000,3.9
1649025831000,3.6
1649026326000,3.9
1649026536000,4.3
1649026791000,3.9
1649026941000,3.6
1649027046000,3.2
1649027091000,2.8
1649027526000,3.2
1649027901000,2.8
1649028696000,3.2
1649029251000,2.8
1649029656000,3.2
1649029866000,3.6
1649030061000,3.2
1649030121000,2.8
1649030811000,3.2
1649031066000,2.8
1649031231000,2.1
1649033661000,1.1
1649034516000,1.7
1649035176000,2.1
1649035326000,2.4
1649035656000,2.8
1649036211000,2.4
1649036256000,2.1
1649036391000,1.5
1649037321000,1.1
1649037426000,0.8
1649037576000,1.1
1649037741000,0.8
1649038086000,1.1
1649038521000,0.8
1649038671000,1.1
1649038851000,1.7
1649039436000,1.4
1649039991000,1.7
1649040126000,2.1
1649040246000,2.4
1649040336000,2.8
1649040711000,2.1
1649040966000,1.5
1649041086000,1.1
1649041191000,0.8
1649041356000,0.5
1649041566000,0.8
1649041641000,1.1
1649041821000,1.7
1649042016000,2.1
1649042316000,1.5
1649042421000,1.1
1649042496000,0.8
1649042646000,1.1
1649043231000,1.7
1649043396000,2.1
1649044236000,2.4
1649044521000,2.1
1649046414000,1.5
1649048121000,1.1
1649048511000,1.7
1649049066000,1.4
1649049276000,1.7
1649050161000,2.1
1649051121000,1.5
1649051181000,1.1
1649051256000,0.8
1649051346000,0.5
1649051571000,0.8
1649051616000,1.1
1649051736000,1.7
1649051841000,2.1
1649052126000,1.5
1649052201000,1.1
1649052291000,0.8
1649052411000,0.5
1649054316000,0.8
1649054376000,1.1
1649054481000,1.7
1649054541000,2.1
1649055036000,1.5
1649055126000,1.1
1649055216000,0.8
1649055321000,0.5
1649055996000,0.8
1649056251000,1.1
1649058846000,1.7
1649058921000,2.1
1649058981000,2.4
1649059041000,2.8
1649059296000,2.1
1649060200000,1.5
1649060391000,2.2
1649060436000,2.7
1649060466000,3.2
1649060496000,3.6
1649060526000,3.9
1649060571000,4.4
1649060706000,4
1649060886000,4.4
1649060946000,4.8
1649060991000,5.2
1649061186000,4.8
1649061231000,4.5
1649061276000,4.1
1649061306000,3.7
1649061351000,3.3
1649061591000,3.7
1649061741000,3.3
1649062101000,2.6
1649062401000,2.2
1649062656000,2.6
1649062701000,3
1649062776000,3.7
1649062836000,4.1
1649062971000,3.5
1649063061000,3.1
1649063166000,3.4
1649063211000,4
1649063241000,4.4
1649063286000,4.8
1649063691000,4.5
1649063781000,4.1
1649065206000,4.5
1649065281000,4.8
1649065521000,4.5
1649065836000,4.8
1649066136000,4.5
1649066586000,4.8
1649066886000,4.5
1649067216000,4.1
1649067456000,4.5
1649067756000,4.8
1649067831000,5.2
1649067906000,5.6
1649068146000,6
1649068671000,6.3
1649068716000,6
1649068761000,5.5
1649068806000,5.1
1649069046000,4.7
1649069166000,5.1
1649069286000,5.5
1649069391000,5.8
1649070366000,6.2
1649070501000,5.8
1649071191000,6.2
1649071341000,6.6
1649071581000,6.2
1649072211000,6.6
1649072346000,7
1649072406000,7.3
1649073021000,7
1649073081000,6.6
1649073456000,7
1649073501000,7.3
1649073786000,7
1649073876000,7.3
1649074056000,7
1649074236000,6.6
1649074506000,7
1649074776000,7.3
1649074866000,7.7
1649074971000,8.1
1649075106000,8.7
1649075166000,9.1
1649075256000,9.7
1649075541000,10.1
1649075691000,9.8
1649075736000,9.5
1649075931000,9.8
1649075991000,10.1
1649076051000,10.5
1649076231000,10.1
1649076636000,9.8
1649076696000,9.5
1649076996000,9.1
1649077311000,9.8
1649077386000,10.1
1649077611000,9.8
1649077716000,10.1
1649077821000,10.5
1649077941000,10.1
1649077971000,9.8
1649078001000,9.5
1649078031000,9.1
1649078241000,8.7
1649078391000,8.4
1649078496000,8.7
1649078781000,9.1
1649079096000,9.7
1649079246000,10.1
1649079846000,10.5
1649079891000,10.8
1649079939000,11.1
1649080026000,11.5
1649080221000,11.1
1649080251000,10.8
1649080296000,10.5
1649080371000,10.1
1649080401000,9.8
1649080776000,10.1
1649081151000,9.8
1649081271000,10.1
1649081346000,10.5
1649081406000,10.8
1649081526000,10.5
1649081796000,10.1
