,Total Hours,Hours off by more than 0h,Share of hours off by more than 0h,Hours off by more than 1h,Share of hours off by more than 1h,Mean Difference,Employee Count,Min Working Hours per Week,Max Working Hours per Week,Home Office Rate
0,462.58333333333337,156,74.63520086470905,107,23.130967393262473,-0.1259533423059668,15,10,40,0.66
0,462.58333333333337,155,69.80724193838947,97,20.969194739686543,-0.003476895468820102,15,10,40,0.66
0,462.58333333333337,146,66.92487840028822,92,19.888308412898574,-0.04923732615522655,15,10,40,0.66
