Time,THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:GRAZ ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:GRAZ ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
03:20:00,0.000000E+00,3.868181E+02,0.000000E+00,7.579904E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.812952E+00,6.502337E+01,1.900000E+01,5.964007E+01
03:30:00,0.000000E+00,3.796826E+02,0.000000E+00,7.440082E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.812732E+00,6.502434E+01,1.900000E+01,5.964007E+01
03:40:00,0.000000E+00,3.726119E+02,0.000000E+00,7.301527E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.812514E+00,6.502529E+01,1.900000E+01,5.964007E+01
03:50:00,0.000000E+00,3.655971E+02,0.000000E+00,7.164067E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.812297E+00,6.502625E+01,1.900000E+01,5.964007E+01
04:00:00,0.000000E+00,3.586355E+02,0.000000E+00,7.027652E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.812082E+00,6.502719E+01,1.900000E+01,5.964007E+01
04:10:00,0.000000E+00,3.517364E+02,0.000000E+00,6.892460E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.811868E+00,6.502813E+01,1.900000E+01,5.964007E+01
04:20:00,0.000000E+00,3.449017E+02,0.000000E+00,6.758531E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.811656E+00,6.502907E+01,1.900000E+01,5.964007E+01
04:30:00,0.000000E+00,3.384838E+02,0.000000E+00,6.632769E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.811445E+00,6.503000E+01,1.900000E+01,5.964007E+01
04:40:00,0.000000E+00,3.328899E+02,0.000000E+00,6.523152E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.811235E+00,6.503092E+01,1.900000E+01,5.964007E+01
04:50:00,0.000000E+00,3.283336E+02,0.000000E+00,6.433871E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.811027E+00,6.503183E+01,1.900000E+01,5.964007E+01
05:00:00,0.000000E+00,3.251819E+02,0.000000E+00,6.372112E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.810820E+00,6.503274E+01,1.900000E+01,5.964007E+01
05:10:00,0.000000E+00,3.232436E+02,0.000000E+00,6.334128E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.810615E+00,6.503365E+01,1.900000E+01,5.964007E+01
05:20:00,0.000000E+00,3.225098E+02,0.000000E+00,6.319749E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.810411E+00,6.503454E+01,1.900000E+01,5.964007E+01
05:30:00,0.000000E+00,3.223757E+02,0.000000E+00,6.317122E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.810208E+00,6.503543E+01,1.900000E+01,5.964007E+01
05:40:00,0.000000E+00,3.222230E+02,0.000000E+00,6.314130E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.810007E+00,6.503632E+01,1.900000E+01,5.964007E+01
05:50:00,0.000000E+00,3.217553E+02,0.000000E+00,6.304965E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.809807E+00,6.503720E+01,1.900000E+01,5.964007E+01
06:00:00,0.000000E+00,3.205743E+02,0.000000E+00,6.281823E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.809608E+00,6.503808E+01,1.900000E+01,5.964007E+01
06:10:00,0.000000E+00,3.190278E+02,0.000000E+00,6.251518E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.809411E+00,6.503894E+01,1.900000E+01,5.964007E+01
06:20:00,0.000000E+00,3.173625E+02,0.000000E+00,6.218885E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.809215E+00,6.503981E+01,1.900000E+01,5.964007E+01
06:30:00,0.000000E+00,3.159831E+02,0.000000E+00,6.191856E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.809020E+00,6.504066E+01,1.900000E+01,5.964007E+01
06:40:00,0.000000E+00,3.152158E+02,0.000000E+00,6.176820E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.808827E+00,6.504151E+01,1.900000E+01,5.964007E+01
06:50:00,0.000000E+00,3.154325E+02,0.000000E+00,6.181067E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.808635E+00,6.504236E+01,1.900000E+01,5.964007E+01
07:00:00,0.000000E+00,3.166628E+02,0.000000E+00,6.205174E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.808444E+00,6.504320E+01,1.900000E+01,5.964007E+01
07:10:00,0.000000E+00,3.188759E+02,0.000000E+00,6.248542E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.808254E+00,6.504403E+01,1.900000E+01,5.964007E+01
07:20:00,0.000000E+00,3.218797E+02,0.000000E+00,6.307402E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.808066E+00,6.504486E+01,1.900000E+01,5.964007E+01
07:30:00,0.000000E+00,3.255507E+02,0.000000E+00,6.379337E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.807879E+00,6.504568E+01,1.900000E+01,5.964007E+01
07:40:00,0.000000E+00,3.298054E+02,0.000000E+00,6.462711E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.807693E+00,6.504650E+01,1.900000E+01,5.964007E+01
07:50:00,0.000000E+00,3.343869E+02,0.000000E+00,6.552488E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.807508E+00,6.504731E+01,1.900000E+01,5.964007E+01
08:00:00,0.000000E+00,3.393273E+02,0.000000E+00,6.649298E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.807325E+00,6.504812E+01,1.900000E+01,5.964007E+01
08:10:00,0.000000E+00,3.445399E+02,0.000000E+00,6.751441E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.807143E+00,6.504892E+01,1.900000E+01,5.964007E+01
08:20:00,0.000000E+00,3.500042E+02,0.000000E+00,6.858517E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.806962E+00,6.504972E+01,1.900000E+01,5.964007E+01
08:30:00,0.000000E+00,3.557034E+02,0.000000E+00,6.970195E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.806782E+00,6.505051E+01,1.900000E+01,5.964007E+01
08:40:00,0.000000E+00,3.616245E+02,0.000000E+00,7.086223E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.806603E+00,6.505130E+01,1.900000E+01,5.964007E+01
08:50:00,0.000000E+00,3.677575E+02,0.000000E+00,7.206402E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.806426E+00,6.505208E+01,1.900000E+01,5.964007E+01
09:00:00,0.000000E+00,3.740978E+02,0.000000E+00,7.330643E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.806250E+00,6.505285E+01,1.900000E+01,5.964007E+01
09:10:00,0.000000E+00,3.805721E+02,0.000000E+00,7.457510E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.806074E+00,6.505362E+01,1.900000E+01,5.964007E+01
09:20:00,0.000000E+00,3.871676E+02,0.000000E+00,7.586754E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.805901E+00,6.505439E+01,1.900000E+01,5.964007E+01
09:30:00,0.000000E+00,3.938740E+02,0.000000E+00,7.718169E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.805728E+00,6.505515E+01,1.900000E+01,5.964007E+01
09:40:00,0.000000E+00,4.009047E+02,0.000000E+00,7.855938E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.805556E+00,6.505590E+01,1.900000E+01,5.964007E+01
09:50:00,0.000000E+00,4.081238E+02,0.000000E+00,7.997401E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.805385E+00,6.505666E+01,1.900000E+01,5.964007E+01
10:00:00,0.000000E+00,4.154880E+02,0.000000E+00,8.141707E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.805216E+00,6.505740E+01,1.900000E+01,5.964007E+01
10:10:00,0.000000E+00,4.229907E+02,0.000000E+00,8.288725E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.805048E+00,6.505814E+01,1.900000E+01,5.964007E+01
10:20:00,0.000000E+00,4.306163E+02,0.000000E+00,8.438153E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.804881E+00,6.505888E+01,1.900000E+01,5.964007E+01
10:30:00,0.000000E+00,4.383534E+02,0.000000E+00,8.589766E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.804714E+00,6.505961E+01,1.900000E+01,5.964007E+01
10:40:00,0.000000E+00,4.459718E+02,0.000000E+00,8.739053E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.804549E+00,6.506033E+01,1.900000E+01,5.964007E+01
10:50:00,0.000000E+00,4.535935E+02,0.000000E+00,8.888403E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.804386E+00,6.506106E+01,1.900000E+01,5.964007E+01
11:00:00,0.000000E+00,4.612510E+02,0.000000E+00,9.038457E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.804223E+00,6.506177E+01,1.900000E+01,5.964007E+01
11:10:00,0.000000E+00,4.688932E+02,0.000000E+00,9.188209E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.804061E+00,6.506248E+01,1.900000E+01,5.964007E+01
11:20:00,0.000000E+00,4.765074E+02,0.000000E+00,9.337414E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.803900E+00,6.506319E+01,1.900000E+01,5.964007E+01
11:30:00,0.000000E+00,4.840893E+02,0.000000E+00,9.485985E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.803740E+00,6.506389E+01,1.900000E+01,5.964007E+01
11:40:00,0.000000E+00,4.916354E+02,0.000000E+00,9.633855E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.803582E+00,6.506459E+01,1.900000E+01,5.964007E+01
11:50:00,0.000000E+00,4.991423E+02,0.000000E+00,9.780956E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.803424E+00,6.506529E+01,1.900000E+01,5.964007E+01
12:00:00,0.000000E+00,5.066042E+02,0.000000E+00,9.927177E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.803268E+00,6.506597E+01,1.900000E+01,5.964007E+01
12:10:00,0.000000E+00,5.140562E+02,0.000000E+00,1.007320E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.803112E+00,6.506666E+01,1.900000E+01,5.964007E+01
12:20:00,0.000000E+00,5.215115E+02,0.000000E+00,1.021929E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802958E+00,6.506734E+01,1.900000E+01,5.964007E+01
12:30:00,0.000000E+00,5.289699E+02,0.000000E+00,1.036544E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802804E+00,6.506801E+01,1.900000E+01,5.964007E+01
12:40:00,0.000000E+00,5.364230E+02,0.000000E+00,1.051149E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802652E+00,6.506869E+01,1.900000E+01,5.964007E+01
12:50:00,0.000000E+00,5.438621E+02,0.000000E+00,1.065726E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802500E+00,6.506935E+01,1.900000E+01,5.964007E+01
13:00:00,0.000000E+00,5.512718E+02,0.000000E+00,1.080246E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802350E+00,6.507001E+01,1.900000E+01,5.964007E+01
13:10:00,0.000000E+00,5.585992E+02,0.000000E+00,1.094605E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.802200E+00,6.507067E+01,1.900000E+01,5.964007E+01
