tick,datetime,agent_id,agent_uid_rank,meet_count,in_office,pt
23.1,2022-08-01 23:06:00,2,0,0,False,[79  3  0]
23.1,2022-08-01 23:06:00,3,0,0,False,[82 36  0]
23.1,2022-08-01 23:06:00,4,0,0,False,[60 13  0]
23.1,2022-08-01 23:06:00,5,0,0,False,[83 24  0]
23.1,2022-08-01 23:06:00,6,0,0,False,[83 28  0]
23.1,2022-08-01 23:06:00,7,0,0,False,[62 27  0]
23.1,2022-08-01 23:06:00,8,0,0,False,[50  2  0]
23.1,2022-08-01 23:06:00,9,0,0,False,[65  4  0]
23.1,2022-08-01 23:06:00,10,0,0,False,[87 12  0]
23.1,2022-08-01 23:06:00,11,0,0,False,[54 43  0]
23.1,2022-08-01 23:06:00,12,0,0,False,[96 16  0]
23.1,2022-08-01 23:06:00,13,0,0,False,[27 15  0]
23.1,2022-08-01 23:06:00,14,0,0,False,[44  8  0]
24.1,2022-08-02 00:06:00,0,0,0,False,[87 41  0]
24.1,2022-08-02 00:06:00,1,0,0,False,[ 5 41  0]
24.1,2022-08-02 00:06:00,2,0,0,False,[78  2  0]
24.1,2022-08-02 00:06:00,3,0,0,False,[83 37  0]
24.1,2022-08-02 00:06:00,4,0,0,False,[59 12  0]
24.1,2022-08-02 00:06:00,5,0,0,False,[84 25  0]
24.1,2022-08-02 00:06:00,6,0,0,False,[82 27  0]
24.1,2022-08-02 00:06:00,7,0,0,False,[61 28  0]
24.1,2022-08-02 00:06:00,8,0,0,False,[49  3  0]
24.1,2022-08-02 00:06:00,9,0,0,False,[64  3  0]
24.1,2022-08-02 00:06:00,10,0,0,False,[88 13  0]
24.1,2022-08-02 00:06:00,11,0,0,False,[55 44  0]
24.1,2022-08-02 00:06:00,12,0,0,False,[97 17  0]
24.1,2022-08-02 00:06:00,13,0,0,False,[28 14  0]
24.1,2022-08-02 00:06:00,14,0,0,False,[43  9  0]
25.1,2022-08-02 01:06:00,0,0,0,False,[86 42  0]
25.1,2022-08-02 01:06:00,1,0,0,False,[ 6 40  0]
25.1,2022-08-02 01:06:00,2,0,0,False,[79  1  0]
25.1,2022-08-02 01:06:00,3,0,0,False,[84 36  0]
25.1,2022-08-02 01:06:00,4,0,0,False,[58 13  0]
25.1,2022-08-02 01:06:00,5,0,0,False,[85 24  0]
25.1,2022-08-02 01:06:00,6,0,0,False,[83 28  0]
25.1,2022-08-02 01:06:00,7,0,0,False,[60 29  0]
25.1,2022-08-02 01:06:00,8,0,0,False,[50  2  0]
25.1,2022-08-02 01:06:00,9,0,0,False,[65  4  0]
25.1,2022-08-02 01:06:00,10,0,0,False,[89 14  0]
25.1,2022-08-02 01:06:00,11,0,0,False,[56 43  0]
25.1,2022-08-02 01:06:00,12,0,0,False,[98 16  0]
25.1,2022-08-02 01:06:00,13,0,0,False,[29 13  0]
25.1,2022-08-02 01:06:00,14,0,0,False,[42  8  0]
26.1,2022-08-02 02:06:00,0,0,0,False,[87 41  0]
26.1,2022-08-02 02:06:00,1,0,0,False,[ 5 41  0]
26.1,2022-08-02 02:06:00,2,0,0,False,[80  0  0]
26.1,2022-08-02 02:06:00,3,0,0,False,[85 35  0]
26.1,2022-08-02 02:06:00,4,0,0,False,[57 14  0]
26.1,2022-08-02 02:06:00,5,0,0,False,[84 25  0]
26.1,2022-08-02 02:06:00,6,0,0,False,[84 29  0]
26.1,2022-08-02 02:06:00,7,0,0,False,[59 30  0]
26.1,2022-08-02 02:06:00,8,0,0,False,[51  1  0]
26.1,2022-08-02 02:06:00,9,0,0,False,[64  3  0]
26.1,2022-08-02 02:06:00,10,0,0,False,[90 15  0]
26.1,2022-08-02 02:06:00,11,0,0,False,[55 44  0]
26.1,2022-08-02 02:06:00,12,0,0,False,[99 17  0]
26.1,2022-08-02 02:06:00,13,0,0,False,[28 12  0]
26.1,2022-08-02 02:06:00,14,0,0,False,[41  9  0]
27.1,2022-08-02 03:06:00,0,0,0,False,[88 42  0]
27.1,2022-08-02 03:06:00,1,0,0,False,[ 4 40  0]
27.1,2022-08-02 03:06:00,2,0,0,False,[79  1  0]
27.1,2022-08-02 03:06:00,3,0,0,False,[84 36  0]
27.1,2022-08-02 03:06:00,4,0,0,False,[58 13  0]
27.1,2022-08-02 03:06:00,5,0,0,False,[83 24  0]
27.1,2022-08-02 03:06:00,6,0,0,False,[85 30  0]
27.1,2022-08-02 03:06:00,7,0,0,False,[58 29  0]
