Time,diff
2022-08-01 07:00:00,4.0
2022-08-01 08:00:00,3.5
2022-08-01 09:00:00,3.0
2022-08-01 10:00:00,6.0
2022-08-01 11:00:00,6.0
2022-08-01 12:00:00,5.333333333333333
2022-08-01 13:00:00,3.0
2022-08-01 14:00:00,6.0
2022-08-01 19:00:00,3.0
2022-08-02 07:00:00,0.0
2022-08-02 08:00:00,1.0
2022-08-02 09:00:00,5.666666666666667
2022-08-02 10:00:00,6.666666666666667
2022-08-02 11:00:00,6.5
2022-08-02 12:00:00,4.333333333333333
2022-08-02 13:00:00,6.0
2022-08-02 14:00:00,4.666666666666667
2022-08-03 05:00:00,0.0
2022-08-03 07:00:00,0.5
2022-08-03 08:00:00,2.0
2022-08-03 09:00:00,3.0
2022-08-03 10:00:00,3.0
2022-08-03 11:00:00,1.0
2022-08-03 12:00:00,1.5
2022-08-03 18:00:00,3.0
2022-08-04 07:00:00,0.3333333333333333
2022-08-04 08:00:00,3.0
2022-08-04 09:00:00,3.5
2022-08-04 10:00:00,3.5
2022-08-04 11:00:00,1.0
2022-08-04 12:00:00,4.666666666666667
2022-08-04 13:00:00,3.0
2022-08-04 14:00:00,2.0
2022-08-04 15:00:00,1.0
2022-08-04 16:00:00,1.0
2022-08-05 07:00:00,2.0
2022-08-05 08:00:00,0.6666666666666666
2022-08-05 09:00:00,0.0
2022-08-05 10:00:00,2.0
2022-08-05 11:00:00,3.0
2022-08-05 12:00:00,5.333333333333333
2022-08-05 13:00:00,3.5
2022-08-08 06:00:00,0.0
2022-08-08 08:00:00,2.0
2022-08-08 09:00:00,2.0
2022-08-08 10:00:00,3.0
2022-08-08 12:00:00,1.0
2022-08-08 13:00:00,1.3333333333333333
2022-08-08 14:00:00,1.5
2022-08-08 15:00:00,1.0
2022-08-09 05:00:00,0.0
2022-08-09 07:00:00,1.0
2022-08-09 09:00:00,1.0
2022-08-09 10:00:00,2.0
2022-08-09 11:00:00,2.6666666666666665
2022-08-09 12:00:00,4.333333333333333
2022-08-09 13:00:00,5.0
2022-08-09 14:00:00,2.6666666666666665
2022-08-09 15:00:00,2.0
2022-08-09 16:00:00,1.0
2022-08-10 07:00:00,3.0
2022-08-10 08:00:00,3.0
2022-08-10 09:00:00,3.6666666666666665
2022-08-10 10:00:00,3.0
2022-08-10 11:00:00,5.666666666666667
2022-08-10 13:00:00,5.0
2022-08-10 14:00:00,5.0
2022-08-10 19:00:00,4.0
2022-08-11 07:00:00,0.0
2022-08-11 08:00:00,2.5
2022-08-11 09:00:00,2.5
2022-08-11 10:00:00,0.0
2022-08-11 11:00:00,1.0
2022-08-11 12:00:00,1.0
2022-08-11 13:00:00,1.0
2022-08-11 14:00:00,1.0
2022-08-11 15:00:00,3.0
2022-08-12 07:00:00,0.0
2022-08-12 08:00:00,1.0
2022-08-12 09:00:00,0.0
2022-08-12 10:00:00,3.0
2022-08-12 11:00:00,2.5
